timestamp,week_start,week_end,recipient,subject,status,transport
2025-11-25T17:58:56.154729+00:00,2025-11-10,2025-11-16,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-11-10–2025-11-16),sent,gmail
2025-11-25T17:59:08.513510+00:00,2025-11-17,2025-11-23,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-11-17–2025-11-23),sent,gmail
2025-11-27T06:13:46.064838+00:00,2025-09-15,2025-09-21,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-09-15–2025-09-21),sent,gmail
2025-11-27T06:13:59.639785+00:00,2025-10-13,2025-10-19,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-10-13–2025-10-19),sent,gmail
2025-11-27T06:14:11.175485+00:00,2025-10-20,2025-10-26,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-10-20–2025-10-26),sent,gmail
2025-11-27T06:14:23.893448+00:00,2025-10-27,2025-11-02,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-10-27–2025-11-02),sent,gmail
2025-11-27T06:14:35.805172+00:00,2025-11-03,2025-11-09,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-11-03–2025-11-09),sent,gmail
2025-11-27T06:14:46.789517+00:00,2025-11-10,2025-11-16,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-11-10–2025-11-16),sent,gmail
2025-11-27T06:14:57.814070+00:00,2025-11-17,2025-11-23,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-11-17–2025-11-23),sent,gmail
2025-11-27T07:08:17.488268+00:00,2025-11-17,2025-11-23,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-11-17–2025-11-23),sent,gmail
2025-12-01T07:28:07.741307+00:00,2025-11-17,2025-11-23,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-11-17–2025-11-23),sent,gmail
2025-12-01T07:28:21.332178+00:00,2025-11-24,2025-11-30,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-11-24–2025-11-30),sent,gmail
2025-12-02T08:30:21.427221+00:00,2025-11-17,2025-11-23,sriram07.ms@gmail.com,Weekly Product Pulse – Groww App (2025-11-17–2025-11-23),sent,gmail
